CATEGORY,1998-99 - (Production),1999-2000 - (Production),2000-01 - (Production),2001-02 - (Production),2002-03 - (Production),2003-04 - (Production),1998-99 - (Sales),1999-00 - (Sales),2000-01 - (Sales),2001-02 - (Sales),2002-03 - (Sales),2003-04 - (Sales)
Medium and Heavy Commercial Vehicles,80528,112308,88210,90849,120502,166102,83668,111195,87588,88653,121349,169526
Light Commercial Vehicles,55363,61213,63869,55348,83195,109122,56262,60124,62864,55023,81588,108046
Total Commercial Vehicles,135891,173521,152079,146197,203697,275224,139930,171319,150452,143676,202937,277572
Cars,390709,577243,504654,564126,557410,781764,409951,638815,590647,620581,611754,821534
Multi-Utility Vehicles,113328,124307,125938,123748,165920,206776,111736,123422,126953,122905,167449,208534
Scooters,1315055,1259423,879707,870213,848434,935319,1325868,1253969,901877,874327,858214,938186
Motor Cycles,1387286,1794078,2183785,2961906,3876175,4355137,1395657,1796734,2156032,2950107,3771218,4357746
Mopeds,672167,724510,694974,491525,351612,334494,681902,726075,687635,494097,362376,333750
Total Two-Wheelers,3374508,3778011,3758466,4323644,5076221,5624950,3403427,3776778,3745544,4318531,4991808,5629682
Three-Wheelers,209033,205543,203234,212753,276719,340729,210220,205238,198162,215396,274895,336840
GRAND TOTAL,4223469,4858625,4744371,5370468,6279967,7229443,4275264,4915572,4811758,5421089,6248843,7274162
